Quinta-Feira;Sopa;Sopa de tomate
;Prato;Paelha vegetariana
;Salada;Alface, pepino e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Nabiças com feijão-frade
;Prato;Salada de feijão encarnado com legumes salteados com broa  e batata cozida
;Salada;Alface, milho e cebola
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 10;5 a 9 de março
;;
Segunda-Feira;Sopa;Primavera
;Prato;Estufado de lentilhas e ervilhas, massa fusilli 
;Salada;Beterraba, cenoura e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;0;
;;
Terça-Feira;Sopa;Abóbora com massinhas 
;Prato;Salteado de legumes e grão com batata cozida
;Salada;Curgete, pepino e tomate
;Sobremesa;Fruta da época (min. 3 variedades)/ Gelatina com frutas 
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Creme de alho francês com cenoura e curgete
;Prato;Curgetes recheadas com soja , arroz de legumes
;Salada;Alface, cenoura e milho
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Grão com feijão-verde
;Prato;Salada de feijão frade com massa espiral , espinafres, cenoura e azeitonas
;Salada;Alface, couve-roxa e tomate
;Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Saloia
;Prato;Arroz de favas com cogumelos e cenoura
;Salada;Alface, cenoura e milho
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;Semana 11;12 a 16 de março
;;
Segunda-Feira;Sopa;Espinafres
;Prato;Esparguete com legumes (cenoura, brócolos e ervilhas) 
;Salada;Alface, milho e cebola
;Sobremesa;Fruta da época (min. 3 variedades) / Fruta assada
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Creme de legumes
;Prato;Hamburguer de cogumelos com feijão preto , arroz de cenoura
;Salada;Alface, beterraba e cenoura
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Feijão branco com couve lombarda
;Prato;Salada de batata com lentilhas e legumes (cenoura e couve)
;Salada;Couve em juliana, pepino e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Macedónia de legumes
;Prato;Fusilli com grão, espinafres e cogumelos 
;Salada;Alface, couve-roxa e milho
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Caldo verde
;Prato;Chili de vegetais e Arroz branco
;Salada;Milho, cebola e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;Semana 12;19  a 23 de março
;;
Segunda-Feira;Sopa;Alho francês com curgete
;Prato;Massinha de feijão preto e legumes (cenoura, milho e pimento) 
;Salada;Couve-roxa, pepino e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Terça-Feira;Sopa;Portuguesa
;Prato;Croquetes de espinafres e grão de bico , arroz de tomate
;Salada;Alface, beterraba e milho
;Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
;Pão;Pão de mistura 
;;
;;
Quarta-Feira;Sopa;Sopa da Horta
;Prato;Soja em molho de tomate , couve lombarda, arroz de cenoura
;Salada;Alface, cenoura e cebola
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura 
;;
;;
Quinta-Feira;Sopa;Creme de feijão-verde
;Prato;Estufado de ervilhas com legumes e batata cozida
;Salada;Couve-roxa, cenoura e tomate
;Sobremesa;Fruta da época (min. 3 variedades) 
;Pão;Pão de mistura 
;;
;;
Sexta-Feira;Sopa;Juliana
;Prato;Massa de vegetais (cenoura, ervilha, feijão verde, couve-flor e aipo)
;Salada;Alface, cenoura e tomate
;Sobremesa;Fruta da época (min. 3 variedades)
;Pão;Pão de mistura
;;
